,Return,MA_5D,Volume,Volatility_10D
1/2/2020,0.9352,322.722,59253833,6.766
1/3/2020,-0.7572,322.616,77783121,8.247
1/6/2020,0.3815,322.772,55761948,8.396
1/7/2020,-0.2812,323.102,42854811,8.629
1/8/2020,0.533,323.62,68434153,8.991
1/9/2020,0.6781,323.976,48569601,9.242
1/10/2020,-0.2878,324.636,53057389,9.487
1/13/2020,0.6877,325.498,47262010,9.052
1/14/2020,-0.1525,326.442,63036384,9.288
1/15/2020,0.226,327.19,72056598,8.169
1/16/2020,0.8318,328.044,54050328,7.035
1/17/2020,0.3113,329.292,95846017,7.015
1/21/2020,-0.1958,329.962,77742415,6.804
1/22/2020,0.0121,330.74,48914899,6.78
1/23/2020,0.1147,331.446,51962994,6.24
1/24/2020,-0.8893,331.016,87578442,8.221
1/27/2020,-1.6029,329.326,84062463,11.558
1/28/2020,1.0479,328.444,63833953,13.221
1/29/2020,-0.0826,327.5,54040889,13.139
1/30/2020,0.3245,326.692,75491844,12.291
1/31/2020,-1.8158,325.284,113845576,15.008
2/3/2020,0.7429,325.408,69242293,16.118
2/4/2020,1.5241,325.842,62573190,18.702
2/5/2020,1.1548,327.09,65951146,19.836
2/6/2020,0.3365,328.35,50359688,19.045
2/7/2020,-0.533,330.444,64139443,16.45
2/10/2020,0.7465,332.556,42070006,16.083
2/11/2020,0.1733,333.796,54864533,15.964
2/12/2020,0.6443,334.708,43992662,16.077
2/13/2020,-0.1067,335.324,54501922,10.121
2/14/2020,0.1602,336.404,64582210,10.186
2/18/2020,-0.2577,336.814,57342526,8.506
2/19/2020,0.4781,337.43,48814692,6.815
2/20/2020,-0.4108,337.336,74163362,7.421
2/21/2020,-1.0298,336.62,113788208,9.106
2/24/2020,-3.3165,333.584,161088409,19.619
2/25/2020,-3.0302,328.768,218913168,23.788
2/26/2020,-0.3678,323.4,194773819,22.411
2/27/2020,-4.4912,315.512,284353459,29.262
2/28/2020,-0.4202,308.068,385764020,28.418
3/2/2020,4.3307,305.402,238703625,41.723
3/3/2020,-2.8632,302.92,300139149,41.919
3/4/2020,4.2033,303.192,176613448,51.18
3/5/2020,-3.3242,304.182,186366809,53.014
3/6/2020,-1.6531,304.422,228667168,51.389
3/9/2020,-7.8095,297.45,309417349,63.996
3/10/2020,5.1745,295.086,276444058,72.974
3/11/2020,-4.8748,287.386,256416563,73.673
3/12/2020,-9.5677,276.516,392220669,88.374
3/13/2020,8.5486,270.888,329566100,99.316
3/16/2020,-10.9424,264.012,297240027,113.216
3/17/2020,5.3992,256.888,262070471,115.525
3/18/2020,-5.0633,250.016,327597131,116.45
3/19/2020,0.2125,248.496,289322037,117.358
3/20/2020,-4.2844,240.392,347158794,113.491
3/23/2020,-2.5568,237.012,326025169,105.175
3/24/2020,9.0603,235.082,235494475,120.673
3/25/2020,1.497,236.44,299430255,108.96
3/26/2020,5.839,240.578,257632816,103.437
3/27/2020,-2.9786,245.502,224341217,80.97
3/30/2020,3.2476,253.242,170961866,77.821
3/31/2020,-1.4905,256.162,194881060,71.49
4/1/2020,-4.5005,256.034,189554623,77.221
4/2/2020,2.3075,254.16,177660430,70.779
4/3/2020,-1.4454,253.114,135561171,69.119
4/6/2020,6.7166,253.756,188061238,62.107
4/7/2020,0.1019,255.232,201427189,62.165
4/8/2020,3.3568,260.808,153774487,57.224
4/9/2020,1.5217,266.082,190282705,53.107
4/13/2020,-0.913,271.576,114839053,52.266
4/14/2020,2.9493,275.362,134143350,51.931
4/15/2020,-2.1248,277.888,121775006,44.328
4/16/2020,0.4824,278.902,131798325,44.144
4/17/2020,2.7015,280.59,146684784,41.753
4/20/2020,-1.7618,281.776,100109285,32.959
4/21/2020,-3.0363,279.626,126385698,38.719
4/22/2020,2.2195,279.894,93524584,36.34
4/23/2020,-0.0072,279.89,104709693,35.471
4/24/2020,1.3939,279.156,85165953,35.62
4/27/2020,1.4418,280.248,77896608,32.876
