DATE,PX_LAST,PX_OPEN,PX_LOW,PX_MID,PX_HIGH,PX_CLOSE_1D,CHG_NET_1D,CHG_PCT_1D,CHG_PCT_5D,PX_VOLUME,VWAP_VOLUME,TURNOVER,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_50D,MOV_AVG_100D,MOV_AVG_200D,RSI_14D,RSI_30D,VOLATILITY_10D,VOLATILITY_20D,VOLATILITY_30D,VOLATILITY_60D,VOLATILITY_90D,VOLATILITY_180D,3MO_CALL_IMP_VOL,3MO_PUT_IMP_VOL,OPEN_INT_TOTAL_CALL,OPEN_INT_TOTAL_PUT,FUND_FLOW,IVOL_DELTA,EQY_DVD_YLD_12M,EQY_DVD_YLD_12M_NET,EQY_DVD_YLD_IND,EQY_DVD_YLD_IND_NET,EMA_12D,EMA_26D,MACD,MACD_SIGNAL,BB_MID,BB_LOW,BB_HIGH,GAP,RETURN,UPTREND
1/2/2015,41.27,41.61,41.0601,41.22,41.71,41.35,-0.08,-0.1935,-2.0645,8495232,7799584,350869600,41.772,41.856,41.4948,41.1672,40.3593,38.9633,50.3731,47.6932,11.014,18.255,15.643,15.226,14.57,12.329,16.96,16.96,43914,115570,-51.6284,15.7221,1.7533,1.7533,2.0983,2.0983,41.6289608,41.49068722,0.138273584,0.175084097,41.49475,40.12745532,42.86204468,0.26,-0.001934704,0
1/5/2015,40.64,41.12,40.52,40.68,41.12,41.27,-0.63,-1.5265,-3.9698,7194733,7168857,293350700,41.436,41.746,41.4182,41.2104,40.3773,38.9833,50.2326,45.7918,13.377,19.001,16.203,15.158,14.814,12.476,17.935,17.935,43847,117111,-18.2748,19.271,1.7805,1.7805,2.1308,2.1308,41.47681299,41.42767335,0.049139636,0.149895205,41.41825,40.03947781,42.79702219,-0.15,-0.015265326,0
1/6/2015,40.15,40.76,39.96,40.155,40.76,40.64,-0.49,-1.2057,-4.6545,8745602,8555239,352948600,41.044,41.604,41.3198,41.2352,40.3866,39.0025,48.0427,42.159,10.954,19.132,16.534,14.325,14.959,12.563,19.27,19.27,44762,120915,32.1453,20.7043,1.8022,1.8022,2.1568,2.1568,41.27268791,41.33303088,-0.060342968,0.10784757,41.31975,39.87565695,42.76384305,0.12,-0.012057087,0
1/7/2015,40.49,40.46,40.2,40.47,40.59,40.15,0.34,0.8468,-3.1571,6534578,6500766,264233200,40.78,41.446,41.2598,41.26,40.3986,39.0235,56.0886,43.8478,12.622,19.511,16.677,14.177,15.009,12.523,18.07,18.07,45846,121643,0,18.6915,1.7871,1.7871,2.1387,2.1387,41.15227439,41.27058415,-0.118309761,0.062616104,41.25975,39.78283269,42.73666731,0.31,0.008468244,1
1/8/2015,41.38,40.82,40.76,41.34,41.47,40.49,0.89,2.1981,0.0726,14211721,9930650,586766300,40.786,41.366,41.2448,41.3018,40.4195,39.0479,57.1942,47.5146,19.002,20.527,18.033,14.816,15.46,12.75,16.593,16.593,48671,122147,213.0353,15.3338,1.7486,1.7486,2.0927,2.0927,41.1873091,41.27868903,-0.09137993,0.031816897,41.24475,39.77915976,42.71034024,0.33,0.021980736,1
1/9/2015,41.25,41.5,40.9499,41.205,41.6,41.38,-0.13,-0.3142,-0.0485,9169915,8477917,378213800,40.782,41.277,41.2548,41.3302,40.4354,39.0739,44.5916,46.8177,18.619,20.506,17.806,14.74,15.44,12.653,16.928,16.928,63881,122687,18.5546,15.0874,1.7542,1.7542,2.0993,2.0993,41.19695385,41.27656391,-0.079610062,0.009531505,41.25475,39.79188475,42.71761525,0.12,-0.003141614,0
1/12/2015,40.77,41.23,40.63,40.8,41.33,41.25,-0.48,-1.1636,0.3199,5628744,5439375,229864000,40.808,41.122,41.2318,41.3498,40.444,39.0981,41.7355,42.7412,19.211,20.188,18.007,14.923,15.576,12.698,18.225,18.225,64131,122600,18.3397,20.0626,1.7748,1.7748,2.124,2.124,41.13126864,41.23904066,-0.107772017,-0.013929199,41.23175,39.75366585,42.70983415,-0.02,-0.011636364,0
1/13/2015,40.74,41.11,40.45,40.72,41.615,40.77,-0.03,-0.0736,1.4695,11679230,10906039,477651200,40.926,40.985,41.238,41.3662,40.4523,39.1214,34.7826,41.5049,19.134,20.046,17.735,14.769,15.544,12.677,18.254,18.254,66808,124111,-71.2883,22.7155,1.7761,1.7761,2.1256,2.1256,41.07107347,41.20207469,-0.131001218,-0.037343603,41.238,39.76937343,42.70662657,0.34,-0.000735835,0
1/14/2015,40.51,40.41,40.139,40.575,40.69,40.74,-0.23,-0.5646,0.0494,8830690,8743725,356963900,40.93,40.855,41.245,41.3656,40.4564,39.1422,31.4031,42.5585,18.596,19.461,17.782,14.788,15.574,12.696,18.441,18.441,66959,125479,-24.3146,26.0357,1.7862,1.7862,2.1376,2.1376,40.98475447,41.15080989,-0.166055422,-0.063085967,41.245,39.79173471,42.69826529,-0.33,-0.005645557,0
1/15/2015,39.99,40.68,39.96,40.07,40.78,40.51,-0.52,-1.2836,-3.3591,9327741,9224620,375170300,40.652,40.719,41.253,41.3512,40.4552,39.1583,28.3702,40.3791,19.448,18.791,18.05,14.556,15.683,12.8,23.511,23.511,67236,125676,-1.9993,79.7273,1.8094,1.8094,2.1654,2.1654,40.83171532,41.06482398,-0.233108653,-0.097090504,41.253,39.82952397,42.67647603,0.17,-0.012836337,0
1/16/2015,40.38,39.86,39.8399,40.39,40.42,39.99,0.39,0.9752,-2.1091,18821471,13887902,754414000,40.478,40.63,41.243,41.3448,40.4575,39.1762,31.2741,41.7053,19.138,15.661,18.372,14.637,15.738,12.842,18.525,18.525,62705,114049,-86.8482,19.7777,1.792,1.792,2.1445,2.1445,40.76222066,41.01409627,-0.251875616,-0.128047527,41.243,39.79810416,42.68789584,-0.13,0.009752438,1
1/20/2015,40.72,40.62,40.2055,40.745,40.81,40.38,0.34,0.842,-0.1226,12015828,11907115,487489900,40.468,40.638,41.192,41.343,40.463,39.1967,36.9115,43.4861,18.32,16.066,18.609,14.562,15.798,12.864,18,18,46908,60754,-14.2493,17.8524,1.777,1.777,2.1266,2.1266,40.75572517,40.99231137,-0.236586193,-0.14975526,41.192,39.74887007,42.63512993,0.24,0.00842001,1
1/21/2015,40.79,40.54,40.34,40.765,40.96,40.72,0.07,0.1719,0.1227,13919088,13010049,566176800,40.478,40.702,41.153,41.343,40.4693,39.221,39.9606,44.0359,17.851,15.293,18.41,14.465,15.783,12.784,17.618,17.618,67412,61711,-10.1927,17.3364,1.7739,1.7739,2.123,2.123,40.76099822,40.97732534,-0.216327116,-0.163069631,41.153,39.71068103,42.59531897,-0.18,0.001719057,0
1/22/2015,41.46,40.9,40.56,41.46,41.49,40.79,0.67,1.6426,2.3451,8812196,8454223,362030800,40.668,40.799,41.1225,41.3554,40.4829,39.2501,51.0397,48.9903,15.91,16.62,19.105,14.833,15.985,12.922,15.694,15.694,72457,62334,16.5807,14.7946,1.7453,1.7453,2.0887,2.0887,40.86853696,41.01307902,-0.144542059,-0.159364117,41.1225,39.7342511,42.5107489,0.11,0.016425595,1
1/23/2015,41.45,41.45,41.314,41.455,41.64,41.46,-0.01,-0.0241,3.6509,6478772,6475205,268786000,40.96,40.806,41.086,41.3654,40.4946,39.2776,51.7241,48.9903,15.787,16.622,18.527,14.582,15.938,12.92,16.105,16.105,73074,62943,-35.2454,14.5468,1.7457,1.7457,2.0892,2.0892,40.95799281,41.04544353,-0.087450724,-0.144981438,41.086,39.7746282,42.3973718,-0.01,-0.000241196,0
1/26/2015,41.28,41.4,41.15,41.3,41.51,41.45,-0.17,-0.4101,2.2288,9733510,8765196,401549200,41.14,40.809,41.043,41.3716,40.5045,39.3018,56.7227,51.0522,14.334,16.537,18.529,14.613,15.953,12.933,16.277,16.277,83669,63028,55.7455,14.9601,1.7529,1.7529,2.0978,2.0978,41.00753238,41.06281809,-0.055285709,-0.127042292,41.043,39.81921734,42.26678266,-0.05,-0.004101327,0
1/27/2015,40.09,40.6,39.91,40.2,40.6,41.28,-1.19,-2.8828,-1.5472,10791955,10351960,433945300,41.014,40.741,40.9315,41.3514,40.5047,39.3242,49.4505,45.2261,21.9,19.489,20.032,15.888,16.699,13.337,17.879,17.879,86613,65964,-8.0086,18.2997,1.8049,1.8049,2.16,2.16,40.86637355,40.99075749,-0.124383937,-0.126510621,40.9315,39.78982973,42.07317027,-0.68,-0.028827519,0
1/28/2015,40.02,40.81,40.02,39.935,40.94,40.09,-0.07,-0.1746,-1.8877,13047244,11219117,527375600,40.86,40.669,40.827,41.3254,40.5044,39.3483,45.4721,47.3892,21.775,19.409,19.962,15.55,16.667,13.34,19.181,19.181,87280,68159,-40.0013,20.259,1.8081,1.8081,2.1638,2.1638,40.73616224,40.91884953,-0.182687291,-0.137745955,40.827,39.75549452,41.89850548,0.72,-0.001746071,0
1/29/2015,40.4,40.04,39.66,40.42,40.48,40.02,0.38,0.9495,-2.5567,16817569,16751047,672515300,40.648,40.658,40.7565,41.3012,40.5055,39.3726,39.5299,50.1301,21.226,19.554,19.736,15.656,16.706,13.369,15.893,15.893,88073,69235,-183.8094,15.5902,1.7911,1.7911,2.1435,2.1435,40.68444497,40.88041623,-0.19597126,-0.149391016,40.7565,39.77087786,41.74212214,0.02,0.009495252,1
1/30/2015,39.9,40.29,39.82,39.9,40.49,40.4,-0.5,-1.2376,-3.7394,13006347,11764151,523256100,40.338,40.649,40.684,41.2686,40.501,39.3934,36.6337,50.3046,21.655,19.992,19.27,15.868,16.838,13.438,18.624,18.624,87674,68926,-127.5695,19.5428,1.8135,1.8135,2.1703,2.1703,40.56376113,40.8077928,-0.244031677,-0.168319148,40.684,39.67073991,41.69726009,-0.11,-0.012376238,0
2/2/2015,40.31,40.04,39.39,40.35,40.36,39.9,0.41,1.0276,-2.3498,15623563,14634878,623323600,40.144,40.642,40.636,41.2414,40.5035,39.4146,45.3815,48.7892,21.943,19.717,17.444,16.011,16.893,13.471,18.062,18.062,74046,70297,-116.9768,17.8992,1.7951,1.7951,2.1483,2.1483,40.52472095,40.77091926,-0.246198309,-0.18389498,40.636,39.64768021,41.62431979,0.14,0.010275689,1
2/3/2015,40.77,40.43,40.32,40.755,40.805,40.31,0.46,1.1412,1.6962,9883683,9701586,401341400,40.28,40.647,40.6425,41.2288,40.5082,39.4383,50.2773,45.3589,22.936,19.617,17.815,16.193,16.563,13.515,16.76,16.76,74278,74274,-34.6825,16.2677,1.7748,1.7748,2.124,2.124,40.56245619,40.77085117,-0.208394977,-0.18879498,40.6425,39.65245202,41.63254798,0.12,0.01141156,1
2/4/2015,40.85,40.7,40.7,40.815,41.145,40.77,0.08,0.1962,2.074,5889364,5880100,240967100,40.446,40.653,40.6775,41.2136,40.5128,39.4617,53.2319,46.5251,20.812,19.398,17.404,16.196,16.466,13.494,17.022,17.022,74609,74804,4.0854,16.3906,1.7713,1.7713,2.1199,2.1199,40.6066937,40.77671405,-0.170020345,-0.185040053,40.6775,39.71034179,41.64465821,-0.07,0.001962227,0
2/5/2015,41.23,41.02,40.89,41.225,41.25,40.85,0.38,0.9302,2.0545,5091765,4695507,209255200,40.612,40.63,40.7145,41.2048,40.5229,39.4862,62.1094,45.8984,21.631,17.913,17.645,16.304,16.537,13.514,16.392,16.392,75931,75619,0,15.2861,1.755,1.755,2.1003,2.1003,40.70258698,40.81029078,-0.107703805,-0.169572803,40.7145,39.72256301,41.70643699,0.17,0.009302326,1
2/6/2015,41.1,41.29,40.98,41.135,41.48,41.23,-0.13,-0.3153,3.0075,4790310,4784644,197579200,40.852,40.595,40.7005,41.189,40.5341,39.5121,57.4074,44.7368,21.587,17.913,17.659,16.318,16.542,13.521,17.427,17.427,75251,75719,0,15.5474,1.7606,1.7606,2.107,2.107,40.76372744,40.83175072,-0.068023282,-0.149262899,40.7005,39.7390953,41.6619047,0.06,-0.003153044,0
2/9/2015,41.04,40.99,40.95,41.07,41.24,41.1,-0.06,-0.146,1.811,7165741,7083993,294243100,40.998,40.571,40.69,41.1716,40.5417,39.5362,53.4934,44.6498,13.018,17.354,17.588,16.307,16.313,13.49,17.564,17.564,74589,72111,-102.5963,16.0316,1.7631,1.7631,2.11,2.11,40.80623091,40.8471766,-0.040945684,-0.127599456,40.69,39.74844809,41.63155191,-0.11,-0.001459854,0
2/10/2015,41.65,41.32,41.17,41.645,41.7,41.04,0.61,1.4864,2.1584,11245749,9956908,466607900,41.174,40.727,40.734,41.1588,40.5546,39.5657,58.3984,46.8721,14.195,18.143,18.163,16.564,16.492,13.565,15.836,15.836,75210,72215,-114.5458,14.0152,1.7373,1.7373,2.0791,2.0791,40.93604154,40.906645,0.029396544,-0.096200256,40.734,39.70355544,41.76444456,0.28,0.014863548,1
2/11/2015,41.81,41.71,41.59,41.825,41.88,41.65,0.16,0.3842,2.3501,6249959,6101169,261040400,41.366,40.906,40.7875,41.1452,40.5667,39.5943,53.7961,48.5929,13.867,17.966,18.08,16.518,16.451,13.565,15.924,15.924,75462,72305,14.6323,13.9031,1.7307,1.7307,2.0712,2.0712,41.07049669,40.97356018,0.096936506,-0.057572904,40.7875,39.65528315,41.91971685,0.06,0.003841537,1
2/12/2015,42.38,42.13,42.07,42.41,42.41,41.81,0.57,1.3633,2.7892,6769238,6683167,286549500,41.596,41.104,40.881,41.1527,40.5871,39.6245,58.9942,52.6075,10.615,17.525,18.183,16.752,16.599,13.64,15.144,15.144,77222,72633,33.9304,11.9195,1.7074,1.7074,2.0433,2.0433,41.27195874,41.07774091,0.194217827,-0.007214757,40.881,39.56238103,42.19961897,0.32,0.013633102,1
2/13/2015,42.65,42.48,42.4,42.64,42.68,42.38,0.27,0.6371,3.7713,4315840,4137112,183653900,41.906,41.379,41.014,41.1653,40.6129,39.6555,62.9981,56.0521,10.399,17.385,18.234,16.787,16.377,13.657,14.931,14.931,82654,72647,14.9357,9.8835,1.6966,1.6966,2.0304,2.0304,41.48396509,41.19420455,0.289760539,0.052180302,41.014,39.55280323,42.47519677,0.1,0.00637093,1
2/17/2015,42.67,42.69,42.56,42.655,42.74,42.65,0.02,0.0469,3.9717,5340289,5179056,227779800,42.232,41.615,41.1285,41.1753,40.6398,39.6864,81.4634,56.5543,10.316,17.269,17.504,16.723,16.085,13.655,15.472,15.472,84441,73588,8.5398,13.7972,1.6958,1.6958,2.0294,2.0294,41.666432,41.30352273,0.362909267,0.114326095,41.1285,39.53139919,42.72560081,0.04,0.000468933,0
2/18/2015,42.71,42.67,42.55,42.685,42.75,42.67,0.04,0.0937,2.545,3749777,3649417,159946400,42.444,41.809,41.228,41.1861,40.6645,39.718,83.0467,60.2577,10.43,17.276,16.976,16.695,15.796,13.652,15.448,15.448,83818,73344,0,15.0347,1.6942,1.6942,2.0275,2.0275,41.82698092,41.40770623,0.419274689,0.175315814,41.228,39.50231637,42.95368363,0,0.000937427,0
2/19/2015,42.86,42.68,42.6,42.88,42.9,42.71,0.15,0.3512,2.5114,3125425,2932078,133780000,42.654,42.01,41.3315,41.2009,40.6995,39.7494,82.0313,63.8974,10.111,16.419,16.87,16.706,15.098,13.655,15.039,15.039,82674,74978,-81.4214,12.0829,1.6883,1.6883,2.0204,2.0204,41.98590693,41.51528355,0.470623386,0.234377328,41.3315,39.4796223,43.1833777,-0.03,0.003512058,1
2/20/2015,43.08,42.86,42.6372,43.075,43.14,42.86,0.22,0.5133,1.6517,6933497,6821579,297901000,42.794,42.195,41.4125,41.2287,40.7324,39.784,94.6629,63.4476,9.047,16.445,15.758,16.704,14.957,13.647,14.844,14.844,80973,75048,36.6345,11.3279,1.6796,1.6796,2.0101,2.0101,42.15422894,41.63118847,0.523040474,0.292109957,41.4125,39.40966326,43.41533674,0,0.005132991,1
