DATE,PX_LAST,PX_OPEN,PX_LOW,PX_MID,PX_HIGH,PX_CLOSE_1D,CHG_NET_1D,CHG_PCT_1D,CHG_PCT_5D,PX_VOLUME,VWAP_VOLUME,TURNOVER,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_50D,MOV_AVG_100D,MOV_AVG_200D,RSI_14D,RSI_30D,VOLATILITY_10D,VOLATILITY_20D,VOLATILITY_30D,VOLATILITY_60D,VOLATILITY_90D,VOLATILITY_180D,3MO_CALL_IMP_VOL,3MO_PUT_IMP_VOL,OPEN_INT_TOTAL_CALL,OPEN_INT_TOTAL_PUT,FUND_FLOW,IVOL_DELTA,EQY_DVD_YLD_12M,EQY_DVD_YLD_12M_NET,EQY_DVD_YLD_IND,EQY_DVD_YLD_IND_NET,EMA_12D,EMA_26D,MACD,MACD_SIGNAL,BB_MID,BB_LOW,BB_HIGH,GAP,RETURN,UPTREND
1/2/2024,187.44,189.86,186.25,187.515,190.16,192.48,-5.04,-2.6185,-2.4004,11772734,9488196,2211484000,191.736,191.663,189.5225,181.0848,174.8917,167.9265,47.5276,56.1847,18.426,15.357,13.949,15.893,16.562,17.824,18.111,18.111,176813,309484,-178.1082,16.2558,0.7786,0.7786,0.9006,0.9006,190.7251823,188.0350931,2.690089242,3.332186249,189.5225,182.8663003,196.1786997,-2.62,-0.026184539,0
1/3/2024,185.53,185.73,185.2,185.455,186.75,187.44,-1.91,-1.019,-3.7957,9095023,7825102,1689629000,190.272,191.031,189.633,181.5166,175.0656,168.1369,38.7675,53.7948,18.391,15.79,13.678,16.077,16.607,17.877,19.264,19.264,177437,305106,9.2728,19.3432,0.7866,0.7866,0.9099,0.9099,189.9259235,187.8495307,2.076392871,3.081027573,189.633,183.3282427,195.9377573,-1.71,-0.010189927,0
1/4/2024,184.17,184.39,183.99,184.145,185.665,185.53,-1.36,-0.733,-4.496,6063648,5018686,1120343000,188.538,190.19,189.6205,181.9174,175.2383,168.3401,29.9316,48.1546,17.304,15.703,13.638,16.186,16.624,17.9,18.787,18.787,178423,308372,138.0948,16.4996,0.7924,0.7924,0.9166,0.9166,189.0403968,187.5769728,1.463424001,2.757506859,189.6205,183.2736,195.9674,-1.14,-0.007330351,0
1/5/2024,184.12,184.38,183.42,184.15,185.71,184.17,-0.05,-0.0271,-4.6356,8175261,7027122,1507014000,186.748,189.635,189.6835,182.2946,175.3839,168.5372,30.6659,50.2558,15.162,15.025,13.569,16.103,16.298,17.876,18.341,18.341,179469,306851,-267.0416,15.6877,0.7926,0.7926,0.9168,0.9168,188.2834127,187.3209008,0.962511935,2.398507874,189.6835,183.5861653,195.7808347,0.21,-0.000271488,0
1/8/2024,188.74,185.05,184.86,188.77,188.87,184.12,4.62,2.5092,-1.9431,8217331,6843796,1541268000,186,189.329,189.8665,182.8032,175.5924,168.7647,42.8778,55.3605,21.871,17.416,15.463,16.842,16.773,18.092,20.942,20.942,182666,311239,-188.7902,18.4337,0.7732,0.7732,0.8944,0.8944,188.3536569,187.4260192,0.927637673,2.104333834,189.8665,184.1234058,195.6095942,0.93,0.025092331,1
1/9/2024,189.04,187.29,186.89,189.075,189.58,188.74,0.3,0.1589,0.8536,5316949,4267614,1002623000,186.32,189.028,189.9855,183.3802,175.8199,168.982,43.2871,56.2618,21.681,17.134,15.463,16.489,16.759,18.078,17.38,17.38,184915,315089,160.7254,14.2037,0.772,0.772,0.893,0.893,188.4592481,187.5455734,0.913674788,1.866202025,189.9855,184.4171269,195.5538731,-1.45,0.001589488,0
1/10/2024,190.65,189.13,188.73,190.68,191.06,189.04,1.61,0.8517,2.7597,4892717,3806253,929923800,187.344,188.808,190.1035,183.9708,176.0793,169.2054,45.5754,58.1022,22.43,17.248,15.629,16.468,16.806,17.882,17.7,17.7,185652,327019,314.6692,16.0204,0.7655,0.7655,0.8854,0.8854,188.7962869,187.7755309,1.020756005,1.697112821,190.1035,184.5840389,195.6229611,0.09,0.008516716,1
1/11/2024,191.62,191.59,188.93,191.595,192.55,190.65,0.97,0.5088,4.0452,6648510,4999171,1268701000,188.834,188.686,190.2075,184.5462,176.3459,169.4394,54.9069,58.765,22.665,17.039,15.674,16.42,16.815,17.816,17.49,17.49,187273,330051,95.788,14.7968,0.7616,0.7616,0.8809,0.8809,189.2307043,188.0603064,1.170397917,1.59176984,190.2075,184.6561367,195.7588633,0.94,0.005087857,1
1/12/2024,192.24,191.93,191.28,192.25,192.68,191.62,0.62,0.3236,4.4102,4417318,3492191,848132600,190.458,188.603,190.259,185.1108,176.5872,169.6798,51.1983,59.2639,22.716,17.045,15.685,16.206,16.701,17.66,17.473,17.473,186223,333287,-9.6132,13.9769,0.7591,0.7591,0.8781,0.8781,189.6936729,188.3699133,1.323759552,1.538167782,190.259,184.6525541,195.8654459,0.31,0.00323557,1
1/16/2024,192.72,192,190.89,192.765,193.525,192.24,0.48,0.2497,2.1087,5887802,4525126,1132741000,191.254,188.627,190.358,185.6216,176.8352,169.9076,51.802,59.4784,16.169,16.971,15.686,16.115,16.482,17.624,18.282,18.282,186188,329671,-144.5748,14.9628,0.7572,0.7572,0.8759,0.8759,190.1592617,188.692142,1.467119698,1.523958165,190.358,184.6520326,196.0639674,-0.24,0.002496879,1
1/17/2024,191.77,191.29,189.69,191.78,192,192.72,-0.95,-0.4929,1.4441,7054480,5912815,1347640000,191.8,189.06,190.3615,186.0568,177.0434,170.122,47.1185,57.659,14.954,17.079,15.246,15.652,16.515,17.64,18.705,18.705,188065,333294,19.1799,14.5476,0.761,0.761,0.8803,0.8803,190.4070676,188.9201314,1.486936113,1.516553755,190.3615,184.6521593,196.0708407,-1.43,-0.004929431,0
1/18/2024,195.66,194.33,193.6,195.665,195.835,191.77,3.89,2.0285,2.6279,9459365,7782934,1844167000,192.802,190.073,190.552,186.5348,177.3299,170.3453,56.2334,64.6765,15.632,18.599,16.182,16.069,16.816,17.736,17.692,17.692,186952,336487,146.7489,15.9411,0.7459,0.7459,0.8627,0.8627,191.215211,189.419381,1.795830043,1.572409013,190.552,184.4182325,196.6857675,2.56,0.020284716,1
1/19/2024,200.17,196.94,196.51,200.215,200.21,195.66,4.51,2.305,4.462,9166572,7257793,1820127000,194.512,191.673,190.9315,187.0804,177.6445,170.5923,63.197,67.3267,17.12,19.165,16.983,16.581,16.865,17.879,18.228,18.228,118816,344590,-60.0595,15.0025,0.729,0.729,0.8433,0.8433,192.5928709,190.2157231,2.377147737,1.733356758,190.9315,183.5338212,198.3291788,1.28,0.023050189,1
1/22/2024,201.05,201.15,200.29,201.015,202.28,200.17,0.88,0.4396,4.5828,7484461,5834652,1505811000,196.274,193.366,191.5005,187.6058,177.9541,170.8478,65.7595,70.3149,14.417,18.902,16.761,16.265,16.87,17.864,17.855,17.855,112028,206546,140.7038,16.7508,0.7259,0.7259,0.8396,0.8396,193.8939676,191.0182621,2.875705501,1.961826506,191.5005,182.9220888,200.0789112,0.98,0.004396263,1
1/23/2024,201.86,201.24,200.07,201.855,201.99,201.05,0.81,0.4029,4.7426,6631913,5144228,1334277000,198.102,194.678,192.0035,188.1276,178.2377,171.116,81.4024,69.3496,14.176,18.904,16.674,15.518,16.848,17.647,17.167,17.167,113533,209961,252.3353,15.9352,0.7229,0.7229,0.8363,0.8363,195.1195111,191.8213538,3.298157247,2.229092654,192.0035,182.3069537,201.7000463,0.19,0.004028849,1
1/24/2024,203.25,203.25,202.67,203.265,205.29,201.86,1.39,0.6886,5.9863,8825613,6845891,1800286000,200.398,196.099,192.5635,188.6936,178.5221,171.3869,89.4831,69.2147,14.159,18.962,16.622,15.525,16.466,17.657,17.843,17.843,117636,215094,284.5275,15.7981,0.718,0.718,0.8305,0.8305,196.3703555,192.6679202,3.702435313,2.523761186,192.5635,181.6977312,203.4292688,1.39,0.006885961,1
1/25/2024,204.1,205.12,203.155,204.125,206.145,203.25,0.85,0.4182,4.3136,8535747,6765510,1746466000,202.086,197.444,193.126,189.1852,178.8065,171.6624,95.44,68.6483,14.209,18.936,16.584,15.459,16.47,17.623,17.165,17.165,121489,221512,-102.0315,17.4423,0.715,0.715,0.8271,0.8271,197.5595316,193.5147409,4.044790661,2.827967081,193.126,181.150982,205.101018,1.87,0.004182042,1
1/26/2024,201.75,202.67,201.29,201.7,203.565,204.1,-2.35,-1.1514,0.7893,5276594,4136163,1067430000,202.402,198.457,193.5715,189.6508,179.062,171.9332,86.3805,64.0377,17.369,19.685,16.99,15.776,16.629,17.65,16.28,16.28,120321,224079,-131.1289,17.5309,0.7233,0.7233,0.8367,0.8367,198.204219,194.1247601,4.079458917,3.078265448,193.5715,181.0229745,206.1200255,-1.43,-0.011513964,0
1/29/2024,203.6,202,201.6,203.565,203.64,201.75,1.85,0.917,1.2683,3819797,3008036,773920300,202.912,199.593,194.098,190.082,179.3297,172.2175,84.6226,64.1859,17.378,19.721,17.071,15.468,16.385,17.658,16.144,16.144,118630,229886,30.5321,17.0907,0.7168,0.7168,0.8291,0.8291,199.0343392,194.8266298,4.207709443,3.304154247,194.098,180.8156604,207.3803396,0.25,0.009169765,1
1/30/2024,201.92,203.53,201.3,201.89,203.84,203.6,-1.68,-0.8251,0.0297,6125754,4934011,1239669000,202.924,200.513,194.57,190.475,179.5993,172.4797,78.1961,62.4554,18.145,16.704,17.333,15.386,16.204,17.695,17.127,17.127,130860,233382,272.5879,17.2087,0.7227,0.7227,0.836,0.836,199.478287,195.3520646,4.126222426,3.468567883,194.57,180.8863397,208.2536603,-0.07,-0.008251473,0
1/31/2024,197.68,200,197.58,197.625,200.82,201.92,-4.24,-2.0998,-2.7405,8147604,6303593,1620351000,201.81,201.104,195.082,190.765,179.8518,172.7248,63.8005,56.2085,20.9,18.451,18.654,16.115,16.696,17.889,18.332,18.332,132979,233722,-79.0766,18.4592,0.7382,0.7382,0.8539,0.8539,199.2016275,195.5245042,3.677123225,3.510278951,195.082,181.7417967,208.4222033,-1.92,-0.020998415,0
2/1/2024,200.17,198.47,198.34,200.18,200.445,197.68,2.49,1.2596,-1.9255,7151744,5654205,1426535000,201.024,201.555,195.814,191.1124,180.1256,172.9797,65.8392,58.2376,17.965,18.25,18.954,16.232,16.791,17.938,18.102,18.102,135968,238101,220.1999,18.2288,0.729,0.729,0.8433,0.8433,199.3506079,195.868615,3.481992818,3.504621725,195.814,183.0567614,208.5712386,0.79,0.012596115,1
2/2/2024,202.24,198.81,198.745,202.19,202.88,200.17,2.07,1.0341,0.2429,6436276,4988335,1297247000,201.122,201.762,196.7175,191.4482,180.4111,173.2427,67.5809,59.3171,18.699,18.279,18.417,16.219,16.473,17.914,18.76,18.76,134340,239482,-40.4492,14.8606,0.7216,0.7216,0.8347,0.8347,199.7951297,196.3405695,3.454560244,3.494609429,196.7175,184.8589995,208.5760005,-1.36,0.01034121,1
