XLK US EQUITY,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Dates,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,RSI_14D,EMA_12D,EMA_26D,MACD,MACD_SIGNAL,BB_MID,BB_LOW,BB_HIGH,GAP,PX_VOLUME,VIX,VIXN,USGG10YR,DXY,TLT,SPY,MSFT,NVDA,AAPL,UPTREND
10/2/2019,78.28,79.25,79.27,77.695,30.137,,,,,,,,,19760571,12.47,16,1.8771,96.846,137.015,324.87,160.62,5.9978,75.088,
10/3/2019,79.24,78.25,79.27,77.28,39.4737,,,,,,,,-0.03,17476528,14.02,16.95,1.7881,96.838,139.12,322.41,158.62,5.9018,74.358,1
10/4/2019,80.55,79.8,80.65,79.72,47.9961,,,,,,,,0.56,11020636,13.85,17.19,1.809,96.671,138.33,323.64,159.03,5.9265,74.95,1
10/7/2019,80.21,80.28,80.88,80.15,44.7266,,,,,,,,-0.27,10621149,13.79,17.15,1.8177,97.005,137.645,322.73,157.58,5.9983,74.598,0
10/8/2019,78.74,79.69,79.9345,78.73,39.1453,,,,,,,,-0.52,14481367,13.45,16.93,1.8738,97.299,136.74,324.45,160.09,6.0095,75.798,0
10/9/2019,79.91,79.56,80.205,79.44,43.8928,,,,,,,,0.82,10278920,12.54,16.04,1.8545,97.45,137.22,326.65,162.09,6.0755,77.408,1
10/10/2019,80.46,79.83,80.78,79.77,50.8306,,,,,,,,-0.08,9480037,12.56,16.48,1.8196,97.356,138.44,325.71,161.34,6.108,77.583,1
10/11/2019,81.57,81.45,82.29,81.32,54.1085,,,,,,,,0.99,15996561,12.32,15.57,1.8459,97.345,138.02,327.95,163.28,6.2995,79.24,1
10/14/2019,81.52,81.49,81.86,81.48,57.3541,,,,,,,,-0.08,5666424,12.39,15.83,1.8109,97.372,138.73,327.45,162.13,6.182,78.17,0
10/15/2019,82.42,81.85,82.62,81.77,57.1782,,,,,,,,0.33,8119003,12.42,15.54,1.783,97.229,139.65,328.19,163.18,6.1393,77.835,1
10/16/2019,81.85,81.97,82.0063,81.5452,54.2857,,,,,,,,-0.45,10125533,12.32,14.95,1.8074,97.32,139.21,330.92,166.17,6.2233,78.81,0
10/17/2019,81.69,82.13,82.36,81.26,58.5616,80.53666667,,,,,,,0.28,6866203,12.1,14.97,1.8215,97.606,138.02,331.95,167.1,6.232,79.683,0
10/18/2019,80.91,81.57,81.695,80.38,51.6351,80.59410256,,,,,,,-0.12,8726315,12.85,16.22,1.7743,97.531,139.47,331.3,166.5,6.1985,79.143,0
10/21/2019,81.78,81.39,81.82,81.1,58.5179,80.77654832,,,,,,,0.48,6345480,12.91,16.49,1.7691,97.527,139.96,331.34,165.7,6.2513,79.425,1
10/22/2019,80.68,81.94,82.23,80.62,60.582,80.76169474,,,,,,,0.16,9235221,12.98,16.23,1.7325,97.693,140.94,331.72,166.72,6.3215,79.808,0
10/23/2019,80.75,80.43,80.76,80.26,57.2249,80.75989555,,,,,,,-0.25,8953875,14.56,18.07,1.6839,97.853,142.08,328.77,165.04,6.262,79.578,0
10/24/2019,81.93,81.61,82,81.305,56.686,80.93991162,,,,,,,0.86,7308684,18.23,21.46,1.608,97.956,144.29,323.5,162.28,6.005,77.238,1
10/25/2019,82.92,81.93,83.02,81.88,62.3519,81.2445406,,,,,,,0,8152726,16.28,19.61,1.6562,98.018,143.16,326.89,165.46,6.1993,79.423,1
10/28/2019,83.97,83.65,84.01,83.61,74.7867,81.66384204,,,,,,,0.73,7229856,16.39,19.57,1.5839,97.991,144.56,326.62,168.04,6.1385,81.085,1
10/29/2019,83.21,83.9,84.05,83.18,66.2722,81.9017125,,,,81.1295,78.28617466,83.97282534,-0.07,7760442,15.49,17.75,1.5856,97.867,144.58,327.68,172.78,6.1453,80.968,0
10/30/2019,83.72,83.46,83.82,82.9,66.1386,82.18144904,,,,81.4015,78.66165128,84.14134872,0.25,12779335,18.84,21.33,1.5068,97.39,145.9,321.73,170.23,5.9108,77.378,1
10/31/2019,83.67,83.85,83.94,83.13,61.615,82.41045688,,,,81.623,78.9017275,84.3442725,0.13,11230889,17.97,20.4,1.5272,97.8,145.54,324.12,174.38,6.0083,77.165,0
11/1/2019,84.67,83.95,84.67,83.82,65.7658,82.7580789,,,,81.829,78.85206265,84.80593735,0.28,9920592,16.05,18.45,1.5991,97.961,143.58,329.06,180.12,6.1783,79.713,1
11/4/2019,85.11,85.32,85.37,84.93,64.1133,83.11991291,,,,82.074,78.87231045,85.27568955,0.65,10181562,15.15,18.52,1.6508,98.301,142.01,332.86,179.9,6.269,80.363,1
11/5/2019,85.01,85.35,85.38,84.72,67.4393,83.41069554,,,,82.3875,79.32831792,85.44668208,0.24,7899848,14.96,18.41,1.6422,98.496,142.65,333.98,183.63,6.3561,81.303,0
11/6/2019,84.97,85,85.045,84.54,68.3445,83.65058853,81.91307692,1.737511612,,82.6405,79.6058964,85.6751036,-0.01,8538613,15.47,19.42,1.5834,98.684,144.43,332.2,183.89,6.2898,80.008,0
11/7/2019,85.64,85.54,86.12,85.4,76.7837,83.95665184,82.1891453,1.767506538,,82.8995,79.77076559,86.02823441,0.57,14042469,15.04,19.31,1.5696,98.832,144.83,334.68,188.7,6.5743,80.388,1
11/8/2019,86.12,85.42,86.12,85.08,75.7109,84.28947463,82.48031972,1.80915491,,83.127,79.76504164,86.48895836,-0.22,6286580,15.18,19.66,1.6006,98.721,144.1,335.26,184.44,6.6973,79.903,1
11/11/2019,86.16,85.63,86.28,85.52,87.1274,84.57724777,82.75288863,1.824359134,,83.359,79.83610403,86.88189597,-0.49,4244082,13.74,18.04,1.6333,99.049,143.37,337.42,184.71,6.8135,81.8,0
11/12/2019,86.45,86.28,86.77,86.07,87.5,84.86536349,83.02674873,1.838614761,,83.5605,79.82112853,87.29987147,0.12,8281547,14.15,18.46,1.6173,99.067,143.92,337.06,183.71,6.7695,81.218,1
11/13/2019,86.64,86.11,86.72,86.09,85.6278,85.13838449,83.29439697,1.84398752,,83.8,79.91863941,87.68136059,-0.34,7686192,13.68,17.95,1.5848,99.124,144.55,337.6,185.35,7.2448,81.238,1
11/14/2019,86.54,86.3,86.61,86.06,81.6434,85.35401765,83.53481201,1.819205636,,84.0425,80.11301721,87.97198279,-0.34,6091442,14.83,19.12,1.561,99.44,145.54,336.73,187.23,7.4143,79.75,0
11/15/2019,87.24,87.15,87.24,86.88,80.4469,85.64416878,83.80927038,1.834898397,,84.359,80.47024236,88.24775764,0.61,7062496,14.38,18.58,1.5661,99.705,145.53,338.34,187.28,7.8675,80.905,1
11/18/2019,87.5,87.21,87.6286,86.88,94.0452,85.92968128,84.08265776,1.847023514,1.813584669,84.645,80.71585505,88.57414495,-0.03,6512351,15.56,20.33,1.5152,99.865,146.67,336.95,184.42,7.7175,80.075,1
11/19/2019,87.67,87.85,87.9268,87.35,93.5982,86.19742262,84.34838682,1.849035801,1.820674896,84.9945,81.30187776,88.68712224,0.35,7043682,17.08,22.46,1.4713,99.262,148.04,333.48,178.59,7.3518,78.263,0
