XLK US EQUITY,PX_LAST,PX_OPEN,PX_LOW,PX_MID,PX_HIGH,PX_CLOSE_1D,PX_LAST_PRE_SESSION,CHG_NET_1D,CHG_PCT_1D,CHG_PCT_5D,PX_VOLUME,VWAP_VOLUME,TURNOVER,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_50D,MOV_AVG_100D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,VOLATILITY_10D,VOLATILITY_20D,VOLATILITY_30D,VOLATILITY_60D,EMA_12D,EMA_26D,MACD,MACD_SIGNAL,BB_MID,BB_LOW,BB_HIGH,GAP,UPTREND
1/2/2024,187.44,189.86,186.25,187.515,190.16,192.48,189.85,-5.04,-2.6185,-2.4004,11772734,9488196,2211484000,191.736,191.663,189.5225,181.0848,174.8917,167.9265,3.9249,32.6241,47.5276,56.1847,18.426,15.357,13.949,15.893,190.7251823,188.0350931,2.690089242,3.332186249,189.5225,182.8663003,196.1786997,-2.62,0
1/3/2024,185.53,185.73,185.2,185.455,186.75,187.44,185.78,-1.91,-1.019,-3.7957,9095023,7825102,1689629000,190.272,191.031,189.633,181.5166,175.0656,168.1369,0,24.5854,38.7675,53.7948,18.391,15.79,13.678,16.077,189.9259235,187.8495307,2.076392871,3.081027573,189.633,183.3282427,195.9377573,-1.71,0
1/4/2024,184.17,184.39,183.99,184.145,185.665,185.53,184.41,-1.36,-0.733,-4.496,6063648,5018686,1120343000,188.538,190.19,189.6205,181.9174,175.2383,168.3401,0,27.6786,29.9316,48.1546,17.304,15.703,13.638,16.186,189.0403968,187.5769728,1.463424001,2.757506859,189.6205,183.2736,195.9674,-1.14,0
1/5/2024,184.12,184.38,183.42,184.15,185.71,184.17,184,-0.05,-0.0271,-4.6356,8175261,7027122,1507014000,186.748,189.635,189.6835,182.2946,175.3839,168.5372,0,12.5,30.6659,50.2558,15.162,15.025,13.569,16.103,188.2834127,187.3209008,0.962511935,2.398507874,189.6835,183.5861653,195.7808347,0.21,0
1/8/2024,188.74,185.05,184.86,188.77,188.87,184.12,185.03,4.62,2.5092,-1.9431,8217331,6843796,1541268000,186,189.329,189.8665,182.8032,175.5924,168.7647,76.6169,38.6721,42.8778,55.3605,21.871,17.416,15.463,16.842,188.3536569,187.4260192,0.927637673,2.104333834,189.8665,184.1234058,195.6095942,0.93,1
1/9/2024,189.04,187.29,186.89,189.075,189.58,188.74,187.37,0.3,0.1589,0.8536,5316949,4267614,1002623000,186.32,189.028,189.9855,183.3802,175.8199,168.982,98.994,36.4989,43.2871,56.2618,21.681,17.134,15.463,16.489,188.4592481,187.5455734,0.913674788,1.866202025,189.9855,184.4171269,195.5538731,-1.45,1
1/10/2024,190.65,189.13,188.73,190.68,191.06,189.04,189,1.61,0.8517,2.7597,4892717,3806253,929923800,187.344,188.808,190.1035,183.9708,176.0793,169.2054,#N/A N/A,43.0299,45.5754,58.1022,22.43,17.248,15.629,16.468,188.7962869,187.7755309,1.020756005,1.697112821,190.1035,184.5840389,195.6229611,0.09,1
1/11/2024,191.62,191.59,188.93,191.595,192.55,190.65,191.15,0.97,0.5088,4.0452,6648510,4999171,1268701000,188.834,188.686,190.2075,184.5462,176.3459,169.4394,#N/A N/A,45.5927,54.9069,58.765,22.665,17.039,15.674,16.42,189.2307043,188.0603064,1.170397917,1.59176984,190.2075,184.6561367,195.7588633,0.94,1
1/12/2024,192.24,191.93,191.28,192.25,192.68,191.62,191.91,0.62,0.3236,4.4102,4417318,3492191,848132600,190.458,188.603,190.259,185.1108,176.5872,169.6798,#N/A N/A,49.2718,51.1983,59.2639,22.716,17.045,15.685,16.206,189.6936729,188.3699133,1.323759552,1.538167782,190.259,184.6525541,195.8654459,0.31,1
1/16/2024,192.72,192,190.89,192.765,193.525,192.24,191.86,0.48,0.2497,2.1087,5887802,4525126,1132741000,191.254,188.627,190.358,185.6216,176.8352,169.9076,#N/A N/A,72.1477,51.802,59.4784,16.169,16.971,15.686,16.115,190.1592617,188.692142,1.467119698,1.523958165,190.358,184.6520326,196.0639674,-0.24,1
1/17/2024,191.77,191.29,189.69,191.78,192,192.72,191.38,-0.95,-0.4929,1.4441,7054480,5912815,1347640000,191.8,189.06,190.3615,186.0568,177.0434,170.122,53.6585,78.4672,47.1185,57.659,14.954,17.079,15.246,15.652,190.4070676,188.9201314,1.486936113,1.516553755,190.3615,184.6521593,196.0708407,-1.43,0
1/18/2024,195.66,194.33,193.6,195.665,195.835,191.77,194.1,3.89,2.0285,2.6279,9459365,7782934,1844167000,192.802,190.073,190.552,186.5348,177.3299,170.3453,82.1429,92.5871,56.2334,64.6765,15.632,18.599,16.182,16.069,191.215211,189.419381,1.795830043,1.572409013,190.552,184.4182325,196.6857675,2.56,1
1/19/2024,200.17,196.94,196.51,200.215,200.21,195.66,196.96,4.51,2.305,4.462,9166572,7257793,1820127000,194.512,191.673,190.9315,187.0804,177.6445,170.5923,89.8396,94.7075,63.197,67.3267,17.12,19.165,16.983,16.581,192.5928709,190.2157231,2.377147737,1.733356758,190.9315,183.5338212,198.3291788,1.28,1
