Date,Close,Open,Low,Mid,High,Volume
2014-01-02,35.39,35.62,35.33,35.41,35.62,8552475
2014-01-03,35.22,35.48,35.20,35.22,35.48,5204778
2014-01-06,35.16,35.18,35.03,35.15,35.29,4524621
2014-01-07,35.48,35.32,35.25,35.48,35.53,7161785
2014-01-08,35.48,35.50,35.36,35.50,35.60,4696341
2014-01-09,35.25,35.63,35.16,35.24,35.63,6341897
2014-01-10,35.32,35.35,35.14,35.32,35.42,12960056
2014-01-13,34.94,35.29,34.83,34.98,35.46,6445233
2014-01-14,35.53,35.08,35.04,35.54,35.55,6419361
2014-01-15,35.96,35.73,35.68,35.96,36.05,9673963
2014-01-16,35.95,35.98,35.87,35.89,36.01,6931286
2014-01-17,35.75,35.89,35.67,35.75,35.96,6338677
2014-01-21,35.93,36.03,35.63,35.88,36.03,6294177
2014-01-22,35.89,35.89,35.80,35.90,35.95,4215882
2014-01-23,35.82,35.73,35.58,35.92,35.82,6417934
2014-01-24,35.13,35.67,35.12,35.11,35.73,15496614
2014-01-27,34.80,35.18,34.63,34.81,35.20,8013962
2014-01-28,34.59,34.49,34.39,34.63,34.65,13145418
2014-01-29,34.32,34.30,34.19,34.40,34.52,11219308
2014-01-30,34.74,34.73,34.55,34.60,34.86,8329805
2014-01-31,34.82,34.46,34.45,34.86,34.99,10943492
2014-02-03,34.09,34.74,33.96,33.98,34.87,15975741
2014-02-04,34.22,34.15,34.05,34.20,34.31,5725628
2014-02-05,34.25,34.15,33.92,34.22,34.35,9203061
2014-02-06,34.63,34.28,34.28,34.57,34.64,9139616
2014-02-07,35.10,34.85,34.70,35.08,35.11,10464749
2014-02-10,35.17,35.10,35.01,35.21,35.23,6758633
2014-02-11,35.60,35.32,35.28,35.58,35.70,7041374
2014-02-12,35.74,35.69,35.66,35.74,35.80,8047800
2014-02-13,36.00,35.54,35.49,36.00,36.03,6914277
2014-02-14,36.07,35.97,35.88,36.07,36.14,12376258
2014-02-18,36.09,36.11,35.99,36.09,36.18,5946429
2014-02-19,35.97,36.02,35.89,35.97,36.18,8611677
2014-02-20,36.09,35.97,35.81,36.10,36.17,6696968
2014-02-21,35.95,36.20,35.94,35.94,36.26,6372503
2014-02-24,36.09,35.91,35.91,36.10,36.27,7845199
2014-02-25,35.99,36.15,35.90,36.04,36.16,5611524
2014-02-26,36.02,36.01,35.88,36.00,36.16,5820637
2014-02-27,36.31,36.01,35.98,36.30,36.33,5449313
2014-02-28,36.35,36.29,35.94,36.25,36.45,9700966
2014-03-03,35.96,35.90,35.67,35.94,36.05,9027211
2014-03-04,36.43,36.35,36.30,36.46,36.53,11604801
2014-03-05,36.48,36.51,36.41,36.52,36.55,8930711
2014-03-06,36.53,36.53,36.45,36.54,36.60,8665334
2014-03-07,36.42,36.63,36.27,36.42,36.65,7197361
